"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"February 28, 2018",Michigan,Detroit,"Ohio St and Outer Dr W",0,1,N/A
"February 28, 2018","North Carolina",Wagram,"Main St",1,1,N/A
"February 28, 2018",Michigan,Detroit,"Kennebec St and Gunston Ave",0,1,N/A
"February 28, 2018",Louisiana,Thibodaux,N/A,0,1,N/A
"February 28, 2018",Texas,"San Antonio","8700 block of Five Palms Dr",0,1,N/A
"February 28, 2018",Texas,"Corpus Christi","2700 block of Waldron Rd",0,1,N/A
"February 28, 2018",Illinois,Chicago,"S Wallace St and W 119th St",0,1,N/A
"February 28, 2018",Illinois,Chicago,"2800 W 31st St",0,1,N/A
"February 28, 2018","New York","New York (Manhattan)","430 125th St",0,2,N/A
"February 28, 2018",Mississippi,Richland,"400 block of Ebenezer Road",2,1,N/A
"February 28, 2018",Texas,Houston,"9900 Club Creek Dr",0,1,N/A
"February 27, 2018","New York",Brooklyn,"Snyder Ave and Flatbush Ave",0,1,N/A
"February 27, 2018",Colorado,"Colorado Springs","1300 block of North Circle Drive",0,1,N/A
"February 27, 2018","South Carolina",Beaufort,"Milledge Village Road",0,1,N/A
"February 27, 2018","New York",Buffalo,"363 Northumberland Ave",0,1,N/A
"February 27, 2018",Missouri,Hazelwood,"7350 N Hanley Rd",0,1,N/A
"February 27, 2018",Virginia,Dahlgren,N/A,0,1,N/A
"February 27, 2018",Illinois,Chicago,"2100 block of S Oakley Ave",0,1,N/A
"February 27, 2018",Tennessee,Memphis,"5490 Fog Hollow Ln",0,2,N/A
"February 27, 2018",Mississippi,Greenville,"Moore Street and Eureka Street",0,1,N/A
"February 27, 2018",Mississippi,Greenville,"Alexander Street and 7th Street",0,3,N/A
"February 27, 2018",Pennsylvania,Norristown,"224 E Chestnut St",0,1,N/A
"February 27, 2018",Ohio,Middletown,"3100 block of S Main St",0,1,N/A
"February 27, 2018",Virginia,Norfolk,"700 Park Ave",0,1,N/A
"February 27, 2018","South Carolina",Camden,N/A,0,1,N/A
"February 27, 2018","South Carolina","North Charleston","2100 block of Eleanor Dr",0,1,N/A
"February 27, 2018",Maryland,Baltimore,"2800 block of Reisterstown Rd",0,2,N/A
"February 27, 2018",Florida,"Spring Hill","Marble Ave and Spring Hill Dr",0,1,N/A
"February 27, 2018",California,Blythe,"221 W Hobsonway",0,1,N/A
"February 27, 2018",Florida,"Fort Myers","Belmont St",0,2,N/A
"February 27, 2018",Florida,Gainesville,"1100 block on NE 16th Ave",0,2,N/A
"February 27, 2018",Alabama,Mobile,"1600 block of Raven Dr",0,1,N/A
"February 27, 2018",Alabama,"Alexander City","11th Ave N",0,1,N/A
"February 27, 2018",Alabama,Atmore,"300 block of East 4th St",0,1,N/A
"February 27, 2018",Indiana,Elkhart,"175 County Road 6",0,1,N/A
"February 27, 2018",Minnesota,Minneapolis,"424 Hennepin Ave",0,2,N/A
"February 27, 2018",Missouri,"Saint Louis","4700 block of S Broadway",0,1,N/A
"February 27, 2018",Pennsylvania,Bellefonte,N/A,0,1,N/A
"February 27, 2018",Michigan,Lansing,"3600 block of Simken Dr",0,1,N/A
"February 27, 2018",Idaho,"Coeur D Alene (Coeur D'alene)","N Government Way and E Hattie Ave",1,1,N/A
"February 27, 2018",Wisconsin,Milwaukee,"6600 block of N Bourbon St",1,1,N/A
"February 27, 2018",Arkansas,"Little Rock","420 Markham Mesa Pl",0,1,N/A
"February 27, 2018","New Mexico",Albuquerque,"San Pedro Dr and San Antonio Dr",0,2,N/A
"February 27, 2018",Arizona,Tucson,"W Alturas St and N Castro Ave",0,1,N/A
"February 27, 2018",Wisconsin,Beloit,"900 block of Elm St",0,1,N/A
"February 27, 2018",Louisiana,"Baton Rouge","Harry Drive",0,1,N/A
"February 27, 2018",Mississippi,"Itta Bena","14000 Highway 82 West",0,1,N/A
"February 27, 2018",Texas,"San Antonio","1300 block of Sun Candle Dr",0,1,N/A
"February 27, 2018",Illinois,Chicago,"400 W Blackhawk St",0,2,N/A
"February 27, 2018",Connecticut,Bridgeport,"1306 Stratford Ave",0,4,N/A
"February 27, 2018","South Carolina",Orangeburg,"Redmon St",0,1,N/A
"February 27, 2018","New Hampshire",Rochester,"161 S Main St",0,1,N/A
"February 27, 2018","North Carolina",Asheville,"Rock Hill Rd",1,1,N/A
"February 27, 2018",California,Fresno,"2655 E Shaw Ave",0,1,N/A
"February 26, 2018","New York",Brooklyn,"8221 Flatlands Ave.",0,1,N/A
"February 26, 2018",Missouri,"Saint Louis","10331 Durness Dr",1,1,N/A
"February 26, 2018",Oklahoma,Ardmore,"115 Monroe Ave NE",0,1,N/A
"February 26, 2018",Florida,Miami,"NW Seventh Ave and 46th St",0,1,N/A
"February 26, 2018",Georgia,Lagrange,"1000 block of Whitesville Rd",0,1,N/A
"February 26, 2018",Virginia,Hampton,"700 block of Kecoughtan Rd",0,1,N/A
"February 26, 2018",Wisconsin,Ellsworth,"W6997 350th Ave",0,1,N/A
"February 26, 2018",Ohio,Columbus,"793 W State St",0,2,N/A
"February 26, 2018",California,"Santa Cruz","Soquel Dr and Chanticleer Ave",0,1,N/A
"February 26, 2018",Oklahoma,Tulsa,"1275 S Memorial Dr",0,1,N/A
"February 26, 2018",Vermont,Burlington,"188 Main St",0,1,N/A
"February 26, 2018",Pennsylvania,Philadelphia,"600 block of  W Clearfield St",1,2,N/A
"February 26, 2018",Oklahoma,"Oklahoma City","6370 W Wilshire Blvd",0,2,N/A
"February 26, 2018",Maryland,Baltimore,"4100 block of 6th St",1,1,N/A
"February 26, 2018",Maryland,Burtonsville,"13900 block of Old Columbia Pike",0,1,N/A
"February 26, 2018",Illinois,Chicago,"3900 Ogden Ave",0,1,N/A
"February 26, 2018",Ohio,Columbus,"Rodgers Ave and W Broad St",0,2,N/A
"February 26, 2018",Ohio,Toledo,"1800 block of Brussels St",0,1,N/A
"February 26, 2018",Wisconsin,Milwaukee,"N 13th St and W Ring St",0,1,N/A
"February 26, 2018",Alabama,Bessemer,"4600 block of Ray Pl",0,1,N/A
"February 26, 2018",Texas,Houston,"7050 W FM 1960",0,1,N/A
"February 26, 2018",Texas,Houston,"10400 Sandpiper Dr",0,1,N/A
"February 26, 2018",Minnesota,"Saint Paul","Arkwright Street and Cook Ave",0,1,N/A
"February 26, 2018",Mississippi,Jackson,"700 block of Raymond Road",0,1,N/A
"February 26, 2018",Minnesota,"Saint Paul","Cottage Dr and Kasota Ave",0,3,N/A
"February 26, 2018",Michigan,Detroit,"Grayton St and Waveney St",0,1,N/A
"February 26, 2018",Illinois,Chicago,"4400 S Whipple St",0,1,N/A
"February 26, 2018",Maryland,Baltimore,"1200 block of Eager St",0,1,N/A
"February 26, 2018",Alabama,Florence,"2200 block of Maple Ave",0,1,N/A
"February 26, 2018",Louisiana,"New Orleans",N/A,0,1,N/A
"February 26, 2018",Louisiana,"New Orleans","St Roch Ave and N Johnson St",0,1,N/A
"February 26, 2018","North Carolina",Goldsboro,"700 block of Franklin St",0,1,N/A
"February 26, 2018","New York",Brooklyn,"8221 Flatlands Ave",0,1,N/A
"February 26, 2018",Pennsylvania,Shamokin,"N Rock St and Spurzheim St",1,1,N/A
"February 26, 2018",Massachusetts,Springfield,"300 block of Oakland St",0,1,N/A
"February 26, 2018","South Carolina",Loris,"Hemingway Rd",0,1,N/A
"February 26, 2018","New York","Niagara Falls","2456 Niagara Ave",0,1,N/A
"February 26, 2018",Washington,Seattle,"6900 S 125th St",0,1,N/A
"February 25, 2018","New York","Hopewell Junction","829 NY 82",0,1,N/A
"February 25, 2018",Oklahoma,"Oklahoma City","1032 SW 33rd St",0,1,N/A
"February 25, 2018",California,"King City","300 block of S. Vanderhurst Ave",0,1,N/A
"February 25, 2018",Arizona,Phoenix,"32nd St and Thomas Rd",0,1,N/A
"February 25, 2018",Arizona,Phoenix,"3420 S Central Ave",1,2,N/A
"February 25, 2018",Georgia,Atlanta,"3000 block of Delmar Ln",0,1,N/A
"February 25, 2018",Illinois,Chicago,"4200 W Washington Blvd",0,1,N/A
"February 25, 2018",California,"Daly City","1165 Hillside Blvd",2,1,N/A
"February 25, 2018",Illinois,Chicago,"4200 W Jackson Blvd",0,1,N/A
"February 25, 2018",Illinois,Peoria,"300 E Tripp Ave",0,1,N/A
"February 25, 2018",Nebraska,Omaha,"25th St and Crown Point Ave",1,1,N/A
"February 25, 2018",California,Barstow,"924 E Main St",0,1,N/A
"February 25, 2018",Missouri,"Kansas City",N/A,0,1,N/A
"February 25, 2018",Missouri,"Kansas City","813 Walnut St",0,2,N/A
"February 25, 2018",Illinois,Rockford,"Ashland Ave and Ridge Ave",0,1,N/A
"February 25, 2018","South Carolina",Bennettsville,"Evergreen Ct",0,1,N/A
"February 25, 2018",Kansas,Wichita,"711 S Main St",0,1,N/A
"February 25, 2018",California,Sacramento,"6300 block of Isthmus Ct",0,2,N/A
"February 25, 2018",Pennsylvania,Erie,"E 23rd St",0,1,N/A
"February 25, 2018",Maryland,Baltimore,"5100 block of Park Heights Ave",1,1,N/A
"February 25, 2018","South Carolina",Blacksburg,"Whisonant St",0,2,N/A
"February 25, 2018",Washington,Seattle,"1100 block of 29th Avenue South",0,1,N/A
"February 25, 2018",Florida,Pensacola,"Moreno Ct",0,1,N/A
"February 25, 2018",Florida,Jacksonville,"4919 N Main St",0,1,N/A
"February 25, 2018",Georgia,"Warner Robins","125 Wall St",0,1,N/A
"February 25, 2018",Ohio,Cleveland,"5200 Memphis Ave",0,1,N/A
"February 25, 2018",Texas,"Wichita Falls","2600 block of Plaza Pkwy",0,1,N/A
"February 25, 2018",Ohio,Columbus,"3200 block of Caralee Dr",0,1,N/A
"February 25, 2018",Texas,Beaumont,"2200 block of Earl",0,1,N/A
"February 25, 2018",Georgia,Clarkesville,"Hollywood Canyon Dr",0,1,N/A
"February 25, 2018",Alabama,Birmingham,"7001 Crestwood Blvd",0,1,N/A
"February 25, 2018",Georgia,Bogart,"280 Commerce Blvd",0,1,N/A
"February 25, 2018",Georgia,Lenox,"42 S Robinson St",0,1,N/A
"February 25, 2018",Florida,Orlando,"3956 W Colonial Dr",0,1,N/A
"February 25, 2018",Pennsylvania,Braddock,"1300 block of Braddock Ave",0,1,N/A
"February 25, 2018",Iowa,Davenport,"100 S Birchwood Ave",0,1,N/A
"February 25, 2018",California,Norwalk,"Mapledale St and Clarkdale Ave",0,1,N/A
"February 25, 2018",Michigan,Detroit,"2000 block of Park Ave",0,1,N/A
"February 25, 2018","District of Columbia",Washington,"600 block of Longfellow St NW",0,1,N/A
"February 25, 2018",Illinois,Chicago,"43rd St and Ashland Ave",0,1,N/A
"February 25, 2018",California,Fresno,"Cedar Ave and Huntington Ave",1,1,N/A
"February 25, 2018",Texas,Arlington,"600 block of W Inwood Ave",1,1,N/A
"February 25, 2018",Illinois,Chicago,"700 N Kedzie Ave",0,1,N/A
"February 25, 2018",Pennsylvania,Scranton,"1418 Lafayette St",1,1,N/A
"February 25, 2018",Florida,"New Port Richey","4429 Tidal Pond Rd",0,1,N/A
"February 25, 2018",Illinois,Chicago,"1800 N Richmond St",0,1,N/A
"February 25, 2018",Illinois,Chicago,"4700 W North Ave",0,2,N/A
"February 25, 2018",Florida,Bradenton,"5600 block of 6th St Ct E",0,1,N/A
"February 25, 2018",Maryland,Baltimore,"4400 block of Park Heights Ave",0,1,N/A
"February 25, 2018",Illinois,Chicago,"200 N Cicero Ave",0,1,N/A
"February 25, 2018",Georgia,Decatur,"3350 Kensington Road",0,1,N/A
"February 25, 2018",Colorado,Ignacio,N/A,0,1,N/A
"February 25, 2018",Texas,"San Antonio","3945 Eisenhauer Rd",0,1,N/A
"February 25, 2018","South Carolina",Columbia,"1400 block of  Andrews Rd",1,1,N/A
"February 25, 2018",California,Perris,"Nuevo Rd and Perris Blvd",0,1,N/A
"February 25, 2018",California,Sylmar,"I-210 and CA  118",0,1,N/A
"February 25, 2018",Massachusetts,Boston,"Bickford St",0,1,N/A
"February 24, 2018",Nebraska,Omaha,"Spring Lake Dr",0,1,N/A
"February 24, 2018",California,"Red Bluff",N/A,0,1,N/A
"February 24, 2018",Massachusetts,Boston,"I-93 and Massachusetts Ave",0,1,N/A
"February 24, 2018",Illinois,Chicago,"8800 S Parnell Ave",0,1,N/A
"February 24, 2018",Illinois,Chicago,"2100 W 52nd St",0,1,N/A
"February 24, 2018",Illinois,Chicago,"3400 W Van Buren St",0,1,N/A
"February 24, 2018",Illinois,Chicago,"1200 S Avers Ave",0,1,N/A
"February 24, 2018",Virginia,Lynchburg,"Ventura Dr",0,1,N/A
"February 24, 2018","New York","Corona (Queens)","35-35 Steinway St",0,2,N/A
"February 24, 2018",Florida,"Daytona Beach","419 Banana Cay Dr",0,1,N/A
"February 24, 2018",Massachusetts,Boston,"2665 Washington St",0,1,N/A
"February 24, 2018",Virginia,Hampton,"2000 block of Cunningham Dr",0,1,N/A
"February 24, 2018",Ohio,Cincinnati,"Hamilton Ave and Roosevelt Ave",0,3,N/A
"February 24, 2018",Louisiana,"New Orleans","Canal Street and North Lopez Street",0,1,N/A
"February 24, 2018",Virginia,Stafford,"Jefferson Davis Hwy and George Mason Rd",0,1,N/A
"February 24, 2018",California,Whittier,"13902 Imperial Hwy",1,2,N/A
"February 24, 2018",California,Fresno,"E Illinois Ave and N 9th St",0,0,N/A
"February 24, 2018","District of Columbia",Washington,"1700 block of 8th Street NW",0,3,N/A
"February 24, 2018","New York",Buffalo,"700 block of Bailey Ave",0,1,N/A
"February 24, 2018",Virginia,Norfolk,"8600 block of Glen Myrtle Ave",0,1,N/A
"February 24, 2018",Missouri,"Kansas City","114th Terrace and Ditman Ave",0,1,N/A
"February 24, 2018",California,"Los Angeles","28th St and Main St",0,1,N/A
"February 24, 2018",Tennessee,Clarksville,"2150 Fort Campbell Blvd",0,1,N/A
"February 24, 2018",Georgia,Marietta,"3300 block of Quail Run",0,1,N/A
"February 24, 2018",Georgia,Atlanta,"2000 block of Hapeville Rd",0,1,N/A
"February 24, 2018","West Virginia",Charleston,N/A,0,1,N/A
"February 24, 2018",Virginia,Portsmouth,"20 block of Pollux Cir W",1,1,N/A
"February 24, 2018",Kentucky,Covington,"4516 Decoursey Avenue",0,3,N/A
"February 24, 2018",California,Oakland,"1200 block of 28th St",0,1,N/A
"February 24, 2018",Texas,"San Antonio","4400 block of Loop 410",1,1,N/A
"February 24, 2018",California,Oakland,"2300 block of Inyo Ave",0,2,N/A
"February 24, 2018",Louisiana,"New Orleans","1200 block of North Claiborne Avenue",0,2,N/A
"February 24, 2018",Georgia,Atlanta,"447 Moreland Ave NE",0,1,N/A
"February 24, 2018",Pennsylvania,Morrisville,"375 W Trenton Ave",0,1,N/A
"February 24, 2018",Georgia,Atlanta,"608 Ralph McGill Blvd NE",0,1,N/A
"February 24, 2018","North Carolina",Greensboro,"1000 block of Martin Luther King Jr. Dr",0,1,N/A
"February 24, 2018",Texas,Amarillo,"2500 block of Wheeler Rd",0,1,N/A
"February 24, 2018",Wisconsin,Milwaukee,"1305 W Cottage Pl",0,2,N/A
"February 24, 2018","South Carolina",Anderson,N/A,0,1,N/A
"February 24, 2018","North Carolina",Charlotte,"6200 block of Albemarle Rd",0,1,N/A
"February 24, 2018","North Carolina",Waynesville,"Quincy St",0,1,N/A
"February 24, 2018",Texas,Killeen,"529 E Veterans Memorial Blvd",0,1,N/A
"February 24, 2018",Ohio,Columbus,"1700 block of Maryland Avenue",0,2,N/A
"February 24, 2018",Mississippi,Jackson,"3900 block of Bishop Avenue",1,1,N/A
"February 24, 2018",Ohio,Dayton,"700 block of Ferguson Ave",0,1,N/A
"February 24, 2018",Ohio,Cleveland,"E 61st St and Fleet Ave",0,1,N/A
"February 24, 2018",Ohio,Columbus,"1900 block of Maryland Ave",0,2,N/A
"February 24, 2018",Tennessee,Memphis,"5000 block of Summer Ave",0,1,N/A
"February 24, 2018","North Carolina",Charlotte,"Brookshire Boulevard",0,1,N/A
"February 24, 2018",Florida,Bradenton,"6500 block of Anchor Loop",0,1,N/A
"February 24, 2018",Alabama,"Mobile (Prichard)","3425 St Stephens Rd",0,1,N/A
"February 24, 2018",Minnesota,"Saint Paul","1600 block of White Bear Ave",0,1,N/A
"February 24, 2018",Florida,Jacksonville,"Alderman Rd",0,1,N/A
"February 24, 2018",Texas,"Fort Worth","5200 block of Dorman St",0,1,N/A
"February 24, 2018",Pennsylvania,Philadelphia,"7300 block of Theodore St",0,1,N/A
"February 24, 2018","North Carolina","Winston Salem (Winston-salem)","810 Akron Dr",0,1,N/A
"February 24, 2018",California,"Long Beach","Cherry Ave and 5th St",0,1,N/A
"February 24, 2018",Michigan,Detroit,"6100 block of Domine St",0,3,N/A
"February 24, 2018",Michigan,Detroit,"8000 block of Auburn St",0,1,N/A
"February 24, 2018",Texas,Dallas,"5700 block of Highland Hills Dr",1,1,N/A
"February 24, 2018",Michigan,Jackson,"1100 block near Rockwell Street",0,1,N/A
"February 24, 2018",California,Madera,"Ave 9 and Rd 38",0,1,N/A
"February 24, 2018",Texas,Houston,"16000 block of Coralbend Dr",1,1,N/A
"February 24, 2018","New Jersey","Atlantic City","1000 block of Arctic Ave",0,1,N/A
"February 24, 2018",Delaware,Wilmington,N/A,0,1,N/A
"February 24, 2018",Delaware,Wilmington,"900 block of Bennett St",0,1,N/A
"February 24, 2018",Mississippi,Vicksburg,"221 First Avenue",0,1,N/A
"February 24, 2018",Illinois,Chicago,"5900 W Rice S",0,1,N/A
"February 24, 2018",Illinois,Chicago,"7800 S Saginaw Ave",0,1,N/A
"February 24, 2018",Illinois,Chicago,"9500 S Stony Island Ave",0,1,N/A
"February 24, 2018",Illinois,Chicago,"1100 S Mozart St",0,1,N/A
"February 24, 2018",Illinois,Chicago,"5500 W Van Buren St",0,1,N/A
"February 24, 2018",Illinois,Chicago,"1400 S Kenneth Ave",0,1,N/A
"February 24, 2018",Florida,"Port Saint Lucie","800 block of SW Swan Ave",0,1,N/A
"February 24, 2018",Mississippi,Jackson,"1038 Woodrow Wilson Avenue",1,1,N/A
"February 24, 2018",Missouri,"Saint Louis","1900 block of Locust St",0,1,N/A
"February 24, 2018",Pennsylvania,Lebanon,"500 block of Cumberland St",0,1,N/A
"February 24, 2018",Pennsylvania,Philadelphia,"4862 N Broad St",0,2,N/A
"February 24, 2018",Pennsylvania,Philadelphia,"Germantown Ave",0,3,N/A
"February 24, 2018",Massachusetts,Watertown,"Arsenal St",0,1,N/A
"February 24, 2018","New York",Buffalo,"Fillmore Avenue and Best Street",0,1,N/A
"February 24, 2018",Pennsylvania,Philadelphia,"1700 block of Scattergood St",0,1,N/A
"February 23, 2018",Connecticut,Bridgeport,"Victory Ave and Reservoir Ave",0,1,N/A
"February 23, 2018","North Carolina","Fuquay Varina","1051 E Broad St",0,2,N/A
"February 23, 2018",Oklahoma,Bartlesville,"4000 Green Country Rd",0,1,N/A
"February 23, 2018",Kansas,Wichita,"3820 S Broadway St",0,1,N/A
"February 23, 2018","North Carolina","High Point","506 E Lexington Ave",0,1,N/A
"February 23, 2018",Florida,"Palm Beach Gardens (Riviera Beach)","W 23rd St",1,3,N/A
"February 23, 2018","New Hampshire",Swanzey,"25 Cedar Rd",0,1,N/A
"February 23, 2018",California,Oakland,"5900 block of Genoa St",0,1,N/A
"February 23, 2018",Nevada,"Las Vegas","2535 S Las Vegas Blvd",0,1,N/A
"February 23, 2018",California,Fresno,"Holloway Ave and Jensen Ave",0,1,N/A
"February 23, 2018",Virginia,Hampton,"Hardy Cash Dr and Hampton Club Dr",0,1,N/A
"February 23, 2018",California,Indio,"82253 Indio Blvd",0,1,N/A
"February 23, 2018",Illinois,Rockford,"1000 block of Lincoln Ave",0,2,N/A
"February 23, 2018",California,"San Bernardino","9th Street and Del Rosa Ave",0,2,N/A
"February 23, 2018","South Carolina",Gaston,"200 block of Treemount Ln",0,1,N/A
"February 23, 2018","South Carolina","North Charleston","3030 Matipan Ave",1,1,N/A
"February 23, 2018",Florida,"Tarpon Springs","300 S Florida Ave",0,1,N/A
"February 23, 2018",Ohio,Middleport,"55 S 3rd Ave",0,1,N/A
"February 23, 2018",Louisiana,"Baton Rouge","2615 Oak Villa Blvd",0,1,N/A
"February 23, 2018","District of Columbia",Washington,"1000 block of 16th St NE",0,1,N/A
"February 23, 2018",Nevada,"Las Vegas","900 E Karen Ave",0,2,N/A
"February 23, 2018",Florida,"Boca Raton","1300 NW 2nd Ave",0,1,N/A
"February 23, 2018",Louisiana,Hammond,"500 W University Ave",0,2,N/A
"February 23, 2018",Georgia,Atlanta,"Maple Dr",0,1,N/A
"February 23, 2018",Texas,Palestine,"County Rd 359",0,1,N/A
"February 23, 2018",Ohio,Akron,"Hamlin St and Wildwood Ave",0,3,N/A
"February 23, 2018",Pennsylvania,Philadelphia,"4132 N Broad St",0,1,N/A
"February 23, 2018",Oklahoma,"Oklahoma City","Southwest 51st Street and Klein Avenue",0,0,N/A
"February 23, 2018",Alabama,Montgomery,"4000 block of Smiley Circle",0,1,N/A
"February 23, 2018","New York",Rochester,"575 Jefferson Ave",0,1,N/A
"February 23, 2018",Pennsylvania,Allentown,"343 Hamilton St",0,1,N/A
"February 23, 2018","New York",Rochester,"Cady St",0,1,N/A
"February 23, 2018","New Jersey",Woodbine,"Franklin St and Adams Ave",0,1,N/A
"February 23, 2018",Illinois,Harvey,"36 W 159th St",0,1,N/A
"February 23, 2018",Michigan,Saginaw,"1100 block of Morris St",0,1,N/A
"February 23, 2018",Illinois,Chicago,"3100 W Pershing Rd",0,0,N/A
"February 23, 2018",Illinois,Chicago,"2300 Ogden Ave",0,1,N/A
"February 23, 2018",Illinois,Chicago,"8000 S Emerald Ave",0,1,N/A
"February 23, 2018",Illinois,Chicago,"2400 W Augusta Blvd",0,1,N/A
"February 23, 2018",California,"San Bernardino","3rd St and Palm Ave",0,1,N/A
"February 23, 2018",Massachusetts,Chelsea,"Clyde St and MA 16",0,1,N/A
"February 23, 2018","North Carolina",Maxton,"S Florence St",0,2,N/A
"February 23, 2018",Michigan,Detroit,"18000 block of Syracuse St",0,1,N/A
"February 23, 2018",Oregon,Corvallis,"2100 block of Northwest Highland Dr",0,1,N/A
"February 23, 2018",Oregon,Portland,"2000 block of Northwest 21st Ave",0,1,N/A
"February 23, 2018",Missouri,"Saint Louis","Natural Bridge Ave and Euclid Ave",0,2,N/A
"February 23, 2018",Oregon,Portland,"545 SE 162nd Ave",0,1,N/A
"February 23, 2018",Oregon,Portland,"7200 block of N Chautauqua Blvd",0,1,N/A
"February 23, 2018",Texas,Denton,"4007 N I-35",0,1,N/A
"February 23, 2018",Texas,Houston,"Federal Rd and East Fwy",1,1,N/A
"February 23, 2018",California,"Santa Ana","15th St and Broadway",0,1,N/A
"February 23, 2018","New York","Niagara Falls","Pine Ave and 16th St",0,1,N/A
"February 23, 2018",Georgia,Atlanta,"2600 block of Godfrey Dr",0,1,N/A
"February 23, 2018","New Jersey","Atlantic City","1500 block of Reading Ave",0,1,N/A
"February 23, 2018",Connecticut,Bridgeport,"Brooks St",0,1,N/A
"February 23, 2018",Louisiana,"New Orleans","S Roman St and Toledano St",0,1,N/A
"February 22, 2018",California,"Grass Valley","Horseshoe Ln",0,1,N/A
"February 22, 2018",Connecticut,Marlborough,"CT 2",0,1,N/A
"February 22, 2018",Wisconsin,Milwaukee,"34th St and W Capitol Dr",0,1,N/A
"February 22, 2018",California,"Half Moon Bay","200 block of Poplar Ave",0,1,N/A
"February 22, 2018",Virginia,"Newport News","36th St and Madison Ave",0,1,N/A
"February 22, 2018",Tennessee,Jackson,"100 block of E Deaderick St",0,1,N/A
"February 22, 2018",Tennessee,Nashville,"Jefferson St",0,1,N/A
"February 22, 2018",Louisiana,Thibodaux,"Ridgeway St and Ridgefield Rd",0,1,N/A
"February 22, 2018",Florida,Apopka,"13th St and Hawthorne Ave",0,1,N/A
"February 22, 2018",Oklahoma,Tulsa,"S 131st E Ave and E 31st St",0,1,N/A
"February 22, 2018","North Carolina","Winston Salem (Winston-salem)","500 block of NE 25th St",0,0,N/A
"February 22, 2018",Alabama,Birmingham,"1st Street West",0,1,N/A
"February 22, 2018",Arizona,Somerton,"Columbia Ave and Joshua St",0,2,N/A
"February 22, 2018",Louisiana,"New Orleans","Governor Nicholls Street and North Broad Street",0,1,N/A
"February 22, 2018",Louisiana,Bastrop,"Park Loop Rd",0,2,N/A
"February 22, 2018",Oklahoma,Tulsa,"1275 S Memorial Dr",0,1,N/A
"February 22, 2018",California,"Nevada City","Forest View Dr",0,1,N/A
"February 22, 2018",Maryland,Bladensburg,"4221 Kenilworth Ave",0,0,N/A
"February 22, 2018",Pennsylvania,Allentown,"200 block of N 15th St",0,1,N/A
